1.0.1.0.24,256,HINANET-FJ,,    
1.0.2.0,23,512,CHINANET-FJ,,
1.0.8.0,21,2048,CHINANET-GD,,
1.0.32.0,19,8192,CHINANET-GD,,
1.1.0.0,24,256,CHINANET-FJ,,
1.1.2.0,23,512,CHINANET-FJ,,
1.1.4.0,22,1024,CHINANET-FJ,,
1.1.8.0,21,2048,CHINANET-GD,,
1.1.16.0,20,4096,CHINANET-GD,,
1.1.32.0,19,8192,CHINANET-GD,,
1.2.0.0,23,512,CHINANET-FJ,,
1.2.2.0,24,256,KNET,,
1.2.4.0,22,1024,CHINANET-FJ,,
1.2.8.0,21,2048,CHINANET-GD,,
1.2.16.0,20,4096,CHINANET-GD,,
1.2.32.0,19,8192,CHINANET-GD,,
1.2.64.0,18,16384,CHINANET-GD,,
1.3.0.0,16,65536,CHINANET-GD,,
1.4.1.0,24,256,CHINANET-FJ,,
1.4.2.0,23,512,CHINANET-FJ,,
1.4.4.0,24,256,KNET,,
1.4.5.0,24,256,CHINANET-FJ,,
1.4.6.0,23,512,CHINANET-FJ,,
1.4.8.0,21,2048,CHINANET-GD,,
1.4.16.0,20,4096,CHINANET-GD,,
1.4.32.0,19,8192,CHINANET-GD,,
1.4.64.0,18,16384,CHINANET-GD,,
1.8.0.0,16,65536,KNET,,
1.10.0.0,21,2048,CHINANET-GD,,
1.10.8.0,23,512,CHINANET-FJ,,
1.10.11.0,24,256,CHINANET-FJ,,
1.10.12.0,22,1024,CHINANET-FJ,,
1.10.16.0,20,4096,CHINANET-GD,,
1.10.32.0,19,8192,CHINANET-GD,,
1.10.64.0,18,16384,CHINANET-GD,,
1.12.0.0,14,262144,FOUNDERBN,Founderbn,
1.24.0.0,13,524288,UNICOM-NM,China-Network-Communications-Group,
1.45.0.0,16,65536,CXNET,CNNIC-CXNET-AP,
1.48.0.0,15,131072,CHINANET-GZ,CHINA-TELECOM,
1.50.0.0,16,65536,CHINANET-NX,,
1.51.0.0,16,65536,NJR-CERNET,ERX-CERNET-BKB,
1.56.0.0,13,524288,UNICOM-HL,China-Network-Communications-Group,
1.68.0.0,14,262144,CHINANET-SX,CHINA-TELECOM,
1.80.0.0,13,524288,CHINANET-SN,CHINA-TELECOM,
1.88.0.0,14,262144,BGCTVNET,BGCTVNET,
1.92.0.0,15,131072,DXTNET,CHINA-TELECOM,
1.94.0.0,15,131072,BBnet,,
1.116.0.0,14,262144,CHINACOMM,,
1.180.0.0,14,262144,CHINANET-NM,CHINATELECOM-NMG-AS-AP,
1.184.0.0,15,131072,GZR-CERNET,ERX-CERNET-BKB,
1.188.0.0,14,262144,UNICOM-HL,China-Network-Communications-Group,
1.192.0.0,13,524288,CHINANET-HA,CHINA-TELECOM,
1.202.0.0,15,131072,CHINANET-BJ,CHINANET-BJ-METRO,
1.204.0.0,14,262144,CHINANET-GZ,CHINA-TELECOM,
14.0.0.0,21,2048,CHINANET-GD,,
14.0.12.0,22,1024,CHINANET-FJ,,
14.1.0.0,22,1024,CHINANET-FJ,,
14.16.0.0,12,1048576,CHINANET-GD,CHINA-TELECOM,
14.102.128.0,22,1024,CHINANET-FJ,,
14.102.156.0,22,1024,MOBIUS-CN,ASN-EQUINIX-AP,
14.103.0.0,16,65536,BITNET,,
14.104.0.0,13,524288,CHINANET-CQ,CHINA-TELECOM,
14.112.0.0,12,1048576,CHINANET-GD,CHINA-TELECOM,
14.130.0.0,15,131072,NBLnet,DXTNET,
14.134.0.0,15,131072,CHINANET-NX,CHINA-TELECOM,
14.144.0.0,12,1048576,CHINANET-GD,CHINA-TELECOM,
14.192.60.0,22,1024,BTMNET,,
14.192.76.0,22,1024,CHINANET-FJ,,
14.196.0.0,15,131072,WSNET,YIWANGXIN-AS-AP,
14.204.0.0,15,131072,UNICOM-YN,China-Network-Communications-Group,
14.208.0.0,12,1048576,CHINANET-GD,CHINA-TELECOM,
